"","marital","kids","actual_mean","optimalc_mean","optimalv_mean","mass_sum"
"1",0,0,6.11945751080676,9.75323619112068,24.5784589721249,0.255708962676852
"2",0,1,13.8267155310525,19.4013750974785,28.2598776348391,0.0659015148091718
"3",0,2,18.6439079074309,24.7664758578793,30.0856468077565,0.0616848329290676
"4",0,3,23.5667126416189,27.7027257606663,31.2810682627273,0.0248105365172014
"5",0,4,28.6983040008048,27.9259810720104,32.8267375293222,0.0111015482777065
"6",1,0,20.3582836817472,12.7070819976593,5.38235804089288,0.134081373893653
"7",1,1,25.9548229093452,22.362168530338,9.92092409978506,0.061905468574866
"8",1,2,31.1743832934457,29.3507679903393,12.5359914408691,0.0868877109048853
"9",1,3,36.3222003385742,33.3236714920432,16.0965194681281,0.0553396851135861
"10",1,4,41.5704238190699,36.7424788087897,20.2009874155202,0.0410858298160419
