"","ymin_group","kids","actual_mean","optimalc_mean","optimalv_mean","mass_sum"
"245","(2.24,2.29]",2,25.6593060076889,0,0,0.00118446024692759
"246","(2.24,2.29]",3,32.8515341238904,0,0,0.000591628853451434
"247","(2.24,2.29]",4,39.8077435605752,0,0,0.000343983684221475
"248","(2.29,2.33]",0,9.29059963453438,0,0,0.00385126089557581
"249","(2.29,2.33]",1,18.0222996823219,0,0,0.00106380965696007
"250","(2.29,2.33]",2,25.2772441303027,0,0,0.00112587251607733
"251","(2.29,2.33]",3,32.6532144139475,0,0,0.000570755078585137
"252","(2.29,2.33]",4,39.65488197317,0,0,0.000321631006748937
"253","(2.33,2.37]",0,9.17744844407272,0,0,0.00361614967740542
"254","(2.33,2.37]",1,17.7105473508867,0,0,0.000997201437753614
"255","(2.33,2.37]",2,24.9373667509273,0,0,0.00107490170594429
"256","(2.33,2.37]",3,32.3494842372768,0,0,0.000539064949579481
"257","(2.33,2.37]",4,39.4795421991131,0,0,0.000310190632339317
"258","(2.37,2.42]",0,9.33017491133618,0,0,0.00358152570129196
"259","(2.37,2.42]",1,17.0980348086954,0,0,0.000972014322898714
"260","(2.37,2.42]",2,24.5832918487223,0,0,0.00101872505918162
"261","(2.37,2.42]",3,32.0467298488297,0,0,0.000514341785814711
"262","(2.37,2.42]",4,39.2682707334314,0,0,0.000291725433980191
"263","(2.42,2.46]",0,9.33869098413264,0,0,0.00325531595600391
"264","(2.42,2.46]",1,16.2822251549028,0,0,0.000916101831203336
"265","(2.42,2.46]",2,23.8121604693423,0,0,0.000978799089654395
"266","(2.42,2.46]",3,31.5119826746824,0,0,0.000481709380835897
"267","(2.42,2.46]",4,38.9067053913898,0,0,0.000280860666495734
"268","(2.46,2.5]",0,9.3445149137638,0,0,0.00327313629129039
"269","(2.46,2.5]",1,15.8029982474499,0,0,0.000863474362713344
"270","(2.46,2.5]",2,23.4846286604176,0,0,0.000912524624110282
"271","(2.46,2.5]",3,31.3301664327572,0,0,0.000464100790058604
"272","(2.46,2.5]",4,38.6943079386312,0,0,0.000262598170811154
"273","(2.5,2.55]",0,9.30592219772887,0,0,0.00310413565159276
"274","(2.5,2.55]",1,15.417142035629,0,0,0.000839619948328137
"275","(2.5,2.55]",2,23.1413699382584,0,0,0.00088728918715065
"276","(2.5,2.55]",3,31.0390446159821,0,0,0.000439133065517268
"277","(2.5,2.55]",4,38.4977834005651,0,0,0.000252479979317523
"278","(2.55,2.59]",0,9.43706041093495,0,0,0.00287883093793768
"279","(2.55,2.59]",1,15.3082733603921,0,0,0.000796610159208492
"280","(2.55,2.59]",2,22.7950540912145,0,0,0.000842658899178338
"281","(2.55,2.59]",3,30.7358707926882,0,0,0.000416518077254457
"282","(2.55,2.59]",4,38.3574552862254,0,0,0.000237000120054771
"283","(2.59,2.63]",0,9.06435128569903,0,0,0.00278744766044501
"284","(2.59,2.63]",1,14.8758811881447,0,0,0.00075545184139944
"285","(2.59,2.63]",2,21.4169297350122,0,0,0.000799250922837365
"286","(2.59,2.63]",3,29.5125179089936,0,0,0.000393844248431171
"287","(2.59,2.63]",4,37.2034749713344,0,0,0.000227988113447718
"288","(2.63,2.68]",0,8.60849952179923,0,0,0.00269268704109978
"289","(2.63,2.68]",1,14.4087474062497,0,0,0.00071409297532751
"290","(2.63,2.68]",2,20.3666068498419,0,0,0.000756692116928008
"291","(2.63,2.68]",3,28.5060976797246,0,0,0.000376382649994812
"292","(2.63,2.68]",4,36.1492090227573,0,0,0.000216407229362743
"293","(2.68,2.72]",0,8.23934813719687,0,0,0.00257877916358889
"294","(2.68,2.72]",1,13.8500860188902,0,0,0.000688502383242462
"295","(2.68,2.72]",2,19.475904570734,0,0,0.000719915468709874
"296","(2.68,2.72]",3,27.4785845276024,0,0,0.000355773707685781
"297","(2.68,2.72]",4,35.2489277321252,0,0,0.000203719289340312
"298","(2.72,2.76]",0,7.50138503732987,0,0,0.0025187827913777
"299","(2.72,2.76]",1,12.8263610659996,0,0,0.000663255366944332
"300","(2.72,2.76]",2,18.188415463574,0,0,0.000688706002444245
"301","(2.72,2.76]",3,25.7557357830275,0,0,0.000342625451470152
"302","(2.72,2.76]",4,33.3444914005491,0,0,0.000196338631446406
"303","(2.76,2.8]",0,7.06129874162091,0,0,0.00233333383763516
"304","(2.76,2.8]",1,12.2869471337849,0,0,0.000630588288919092
"305","(2.76,2.8]",2,17.5258940844739,0,0,0.000653188742914624
"306","(2.76,2.8]",3,24.4637925834269,0,0,0.000327668994500734
"307","(2.76,2.8]",4,32.1997418422807,0,0,0.00018553804547264
"308","(2.8,2.85]",0,6.75803650235702,0,0,0.00224792707795384
"309","(2.8,2.85]",1,11.7493261567063,0,0,0.000595326613289526
"310","(2.8,2.85]",2,17.0207452863846,0,0,0.000623801548819536
"311","(2.8,2.85]",3,23.5360554929527,0,0,0.000306411458967756
"312","(2.8,2.85]",4,31.2273519129121,0,0,0.000175700257358989
"313","(2.85,2.89]",0,6.36835027294416,0,0,0.00215015368688999
"314","(2.85,2.89]",1,11.2207748452392,0,0,0.000569008445936652
"315","(2.85,2.89]",2,16.3358998806232,0,0,0.000593658178783478
"316","(2.85,2.89]",3,22.5853172898546,0,0,0.000296268082726762
"317","(2.85,2.89]",4,30.1646603172777,0,0,0.000167492384242629
"318","(2.89,2.93]",0,5.60512940957654,0,0,0.00209121875106401
"319","(2.89,2.93]",1,10.256066348288,0,0,0.000547739498618138
"320","(2.89,2.93]",2,15.1055845928185,0,0,0.00056911299289495
"321","(2.89,2.93]",3,21.1002527542548,0,0,0.000282486710342895
"322","(2.89,2.93]",4,28.4116112744769,0,0,0.000161618628603823
"323","(2.93,2.98]",0,5.12537116267565,0,0,0.00195176822697086
"324","(2.93,2.98]",1,9.70624193666872,0,0,0.000517837887317527
"325","(2.93,2.98]",2,14.5228643484638,0,0,0.000543447231667037
"326","(2.93,2.98]",3,20.4624835347341,0,0,0.000266500731583708
"327","(2.93,2.98]",4,27.2793493285072,0,0,0.000150113944305857
"328","(2.98,3.02]",0,4.77662107439095,0,0,0.0019025861922728
"329","(2.98,3.02]",1,9.13801847898461,0,0,0.000493744077084455
"330","(2.98,3.02]",2,13.8778874744117,0,0,0.00051386961003949
"331","(2.98,3.02]",3,19.6051324786756,0,0,0.000252758344520205
"332","(2.98,3.02]",4,26.203797530718,0,0,0.000147332065612239
"333","(3.02,3.06]",0,4.39944412995008,0,0,0.0018020016028632
"334","(3.02,3.06]",1,8.5503842771506,0,0,0.000476084811504327
"335","(3.02,3.06]",2,13.2793321593452,0,0,0.000495750619443544
"336","(3.02,3.06]",3,19.0036949258483,0,0,0.000238987773633573
"337","(3.02,3.06]",4,25.2626520210867,0,0,0.000137181723429872
"338","(3.06,3.11]",0,3.61091661740275,0,0,0.00174533135013841
"339","(3.06,3.11]",1,7.58980682569435,0,0,0.00045781772123091
"340","(3.06,3.11]",2,11.9995497129513,0,0,0.000468450400095517
"341","(3.06,3.11]",3,17.4385050588759,0,0,0.00023731081561684
"342","(3.06,3.11]",4,23.5499115774951,0,0,0.000132248171020178
"343","(3.11,3.15]",0,3.19249248538176,0,0,0.00168514625514108
"344","(3.11,3.15]",1,7.01342567662789,0,0,0.000430327623835895
"345","(3.11,3.15]",2,11.3304193598677,0,0,0.000457106417681145
"346","(3.11,3.15]",3,16.7651055700261,0,0,0.000222046669421799
"347","(3.11,3.15]",4,22.8666908141144,0,0,0.000124283979278666
"348","(3.15,3.19]",0,2.81316665862413,0,0,0.0015718732433135
"349","(3.15,3.19]",1,6.49786650425679,0,0,0.000410335667640123
"350","(3.15,3.19]",2,10.8004343518279,0,0,0.000421386773232122
"351","(3.15,3.19]",3,16.1336981710588,0,0,0.000202758799804017
"352","(3.15,3.19]",4,21.9866583092344,0,0,0.00012114696064023
"353","(3.19,3.24]",0,2.38175774192694,0,0,0.00153332829826822
"354","(3.19,3.24]",1,5.92622288534668,0,0,0.000394152155688291
"355","(3.19,3.24]",2,10.1171271253101,0,0,0.000412927943956648
"356","(3.19,3.24]",3,15.2636203046393,0,0,0.000205058057759248
"357","(3.19,3.24]",4,21.2086439530151,0,0,0.000114127070565144
"358","(3.24,3.28]",0,1.61710201642603,0,0,0.00146565421102799
"359","(3.24,3.28]",1,4.8713830459713,0,0,0.00038580260253686
"360","(3.24,3.28]",2,8.89222953851158,0,0,0.000391673761069202
